,index,char,x,y,height,width
92,90,e,0.7425000071525574,-0.28,0.0,0.0
93,90,t,0.7425000071525574,-0.28,0.0,0.0
94,90,t,0.7425000071525574,-0.28,0.0,0.0
95,90,i,0.7425000071525574,-0.28,0.0,0.0
96,90,n,0.7425000071525574,-0.28,0.0,0.0
97,90,g,0.7425000071525574,-0.28,0.0,0.0
98,90, ,0.7425000071525574,-0.28,0.0,0.0
99,90,i,0.7425000071525574,-0.28,0.0,0.0
100,90,r,0.7425000071525574,-0.28,0.0,0.0
101,90,r,0.7425000071525574,-0.28,0.0,0.0
102,90,i,0.7425000071525574,-0.28,0.0,0.0
103,90,t,0.7425000071525574,-0.28,0.0,0.0
104,90,a,0.7425000071525574,-0.28,0.0,0.0
105,90,t,0.7425000071525574,-0.28,0.0,0.0
